sim_time, iris/rotor_0?world_angular_velocity/z
1081.26, 65.26
1081.27, 65.2629
1081.27, 65.3471
1081.28, 65.3767
1081.28, 65.3894
1081.28, 65.4225
1081.29, 65.4172
1081.29, 65.4143
1081.3, 65.38
1081.3, 65.3248
1081.3, 65.2946
1081.31, 65.2925
1081.31, 65.2633
1081.32, 65.2361
1081.32, 65.1919
1081.32, 65.1457
1081.33, 65.1563
1081.33, 65.1774
1081.34, 65.1915
1081.34, 65.2147
1081.34, 65.2263
1081.35, 65.1678
1081.35, 65.1205
1081.36, 65.1185
1081.36, 65.1426
1081.36, 65.1371
1081.37, 65.0961
1081.37, 65.0663
1081.38, 65.0504
1081.38, 65.0231
1081.38, 65.0047
1081.39, 64.9861
1081.39, 64.9887
1081.4, 65.0157
1081.4, 65.0541
1081.4, 65.1064
1081.41, 65.1265
1081.41, 65.1288
1081.42, 65.1332
1081.42, 65.1336
1081.42, 65.108
1081.43, 65.0809
1081.43, 65.0737
1081.44, 65.0947
1081.44, 65.1568
1081.44, 65.1989
1081.45, 65.2369
1081.45, 65.2668
1081.46, 65.3024
1081.46, 65.2908
1081.46, 65.2651
1081.47, 65.2397
1081.47, 65.2257
1081.48, 65.1758
1081.48, 65.116
1081.48, 65.0635
1081.49, 65.0314
1081.49, 65.0025
1081.5, 65.0229
1081.5, 65.0608
1081.5, 65.1239
1081.51, 65.1629
1081.51, 65.1845
1081.52, 65.1727
1081.52, 65.151
1081.52, 65.1224
1081.53, 65.0929
1081.53, 65.0631
1081.54, 65.0577
1081.54, 65.0516
1081.54, 65.0231
1081.55, 64.9961
1081.55, 64.9913
1081.56, 65.1095
1081.56, 65.2076
1081.56, 65.258
1081.57, 65.2622
1081.57, 65.3039
1081.58, 65.364
1081.58, 65.3912
1081.58, 65.3836
1081.59, 65.3632
1081.59, 65.3137
1081.6, 65.2868
1081.6, 65.2742
1081.6, 65.239
1081.61, 65.2376
1081.61, 65.2616
1081.62, 65.2635
1081.62, 65.2507
1081.62, 65.222
